movie_title,rating,genre,directors,tomatometer_rating,audience_rating
Bug,PG,"Classics, Horror, Mystery & Suspense, Science Fiction & Fantasy",Jeannot Szwarc,29,25
Curse of the Pink Panther,PG,"Comedy, Mystery & Suspense",Blake Edwards,29,25
Delgo,PG,"Animation, Science Fiction & Fantasy","Jason Maurer, Marc F. Adler",12,26
Death Defying Acts,PG,"Drama, Mystery & Suspense, Romance",Gillian Armstrong,42,26
Dr. Dolittle 2,PG,"Comedy, Kids & Family",Steve Carr,42,26
Born Yesterday,PG,"Comedy, Romance",Luis Mandoki,25,27
Animals United (Konferenz der Tiere),PG,"Animation, Art House & International, Kids & Family","Reinhard Klooss, Holger Tappe",25,27
Cheerful Weather For The Wedding,PG,"Comedy, Drama",Donald Rice,37,27
"Ned Kelly (Ned Kelly, Outlaw)",PG,"Action & Adventure, Western",Tony Richardson,43,27
The Bad News Bears Go To Japan,PG,Comedy,John Berry,6,28
Dear God,PG,Comedy,Garry Marshall,12,28
Doug's 1st Movie,G,"Action & Adventure, Animation, Kids & Family, Special Interest",Maurice Joyce,26,28
Best Friends,PG,"Comedy, Drama",Norman Jewison,62,28
Lovesick,PG,"Comedy, Romance",Marshall Brickman,40,29
Grizzly,PG,"Horror, Mystery & Suspense",William Girdler,44,29
Deck the Halls,PG,Comedy,John Whitesell,6,30
The Honeymooners,PG,"Comedy, Drama, Television",John Schultz,13,30
Beethoven's 2nd,PG,"Action & Adventure, Comedy, Kids & Family",Rod Daniel,23,30
Clockstoppers,PG,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy",Jonathan Frakes,29,30
Big Top Pee-wee,PG,Comedy,Randal Kleiser,35,30
Arthur 2: On the Rocks,PG,Comedy,Bud Yorkin,13,31
Agent Cody Banks 2: Destination London,PG,"Action & Adventure, Comedy, Kids & Family, Mystery & Suspense",Kevin Allen,14,31
Amelia,PG,Drama,"Stuart Dryburgh, Mira Nair",20,31
Buddy,PG,"Comedy, Drama, Kids & Family",Caroline Thompson,25,31
Alien Trespass,PG,"Comedy, Drama, Mystery & Suspense, Science Fiction & Fantasy",R.W. Goodwin,35,31
Battle For The Planet Of The Apes,G,"Action & Adventure, Classics, Science Fiction & Fantasy",J. Lee Thompson,37,31
Agent Cody Banks,PG,"Action & Adventure, Comedy, Kids & Family, Mystery & Suspense",Harald Zwart,39,31
The Phantom,PG,"Action & Adventure, Science Fiction & Fantasy",Simon Wincer,42,31
King Kong,PG,"Action & Adventure, Horror, Science Fiction & Fantasy",John Guillermin,53,31
Furry Vengeance,PG,"Comedy, Kids & Family",Roger Kumble,7,32
Cinderella II: Dreams Come True,G,"Animation, Kids & Family, Science Fiction & Fantasy",John Kafka,11,32
And Then Came Love,PG,Comedy,Richard Schenkman,17,32
Custer of the West,G,"Action & Adventure, Western","Robert Siodmak, Irving Lerner",25,32
The Country Bears,G,"Comedy, Kids & Family",Peter Hastings,30,32
102 Dalmatians,G,"Comedy, Kids & Family",Kevin Lima,31,32
